ID,Illumination,Flow,Polarization,Distance,Exploration,orientation,TBA,TBF,Inline,SidebySide,PreferenceSidebyside
1,Bright,No,0.622552972,2.386525479,3.853494572,-0.062401703,0.91586457,2.129817139,29.26666667,51.3,0.63673976
2,Bright,No,0.544312126,1.964339651,3.25672645,0.100541481,0.661553367,0.516230935,31.9,27.13333333,0.459627329
3,Bright,No,0.630369313,2.001633139,3.42990559,0.11091449,0.790410226,1.450375311,37.46666667,59.7,0.614408233
4,Bright,No,0.611835871,2.195594508,3.911596114,0.093015627,0.866148041,1.835884336,25.56666667,52.43333333,0.672222222
5,Bright,No,0.601350523,2.010222521,3.485062212,0.042074163,0.73113938,1.017977024,49.33333333,37.23333333,0.430111667
6,Bright,No,0.629488705,2.458839117,3.644560206,0.014164808,0.839182774,2.312619619,34.36666667,28.3,0.451595745
7,Bright,No,0.666301486,2.282432343,4.055705206,0.127282875,0.860000854,1.709787286,42.13333333,50.46666667,0.5449964
8,Bright,No,0.642510677,3.163239401,3.074721899,0.181539691,0.90040931,1.723770328,46.76666667,12.26666667,0.207792208
9,Bright,No,0.65152147,2.052590071,4.309792232,-0.007116408,0.951490446,2.234672437,46.53333333,55.86666667,0.545572917
10,Bright,No,0.553505694,2.572347155,3.692749697,0.032481589,0.844346447,1.466382142,28.7,37.93333333,0.569284642
11,Bright,No,0.637212246,1.986290323,3.610550222,0.152425063,0.799924301,1.341987718,20.4,82.26666667,0.801298701
12,Bright,No,0.633061201,1.984617868,3.946647208,0.067847953,0.8523294,1.929248604,46.2,45.36666667,0.495449581
13,Bright,Yes,0.721131054,1.139785272,1.601442983,0.575703974,0.754895603,1.546805936,59.83333333,120.2,0.667654138
14,Bright,Yes,0.636068734,2.990738373,3.680850175,0.51220403,0.361991779,0.391378332,21.53333333,41.46666667,0.658201058
15,Bright,Yes,0.692396309,2.416190817,3.61584265,0.484233114,0.857227193,1.99476731,32.5,63.1,0.660041841
16,Bright,Yes,0.625468795,2.554033701,4.212568678,0.223852245,0.984692122,2.515688987,18.3,73,0.799561884
17,Bright,Yes,0.816199012,1.872111002,3.702242385,0.785073915,0.785805198,1.285860822,80.73333333,90.43333333,0.528334956
18,Bright,Yes,0.71013528,2.865951716,3.113427266,0.549169765,0.813107623,1.838060269,46.63333333,33.73333333,0.419742845
19,Bright,Yes,0.65250775,1.917094212,3.487565266,0.207166144,0.780674454,1.812385899,29.5,78.03333333,0.72566646
20,Bright,Yes,0.792209231,2.004673857,3.036014191,0.666301253,0.721433994,0.719262039,18.6,142.4666667,0.884519868
21,Bright,Yes,0.840281594,2.041211073,2.88973787,0.796558548,0.741497102,0.955874742,57.26666667,89.06666667,0.608656036
22,Bright,Yes,0.673325101,2.660148738,4.090563645,0.358856681,0.784352009,1.255619682,39.5,47.03333333,0.543528505
23,Bright,Yes,0.875289674,3.117746051,3.297358254,0.852417237,0.79902157,1.685064018,45.83333333,52.06666667,0.531835206
24,Bright,Yes,0.833225471,1.068598303,2.667606306,0.741190909,0.756969601,0.878659784,1.533333333,227.6666667,0.993310064
25,Dark,No,0.633453266,3.951159703,4.941210334,-0.015289112,0.881283964,2.317482451,17.16666667,24.93333333,0.592240697
26,Dark,No,0.622703905,3.066953895,4.976844732,0.004918791,0.802934961,1.687150865,22.9,29.2,0.560460653
27,Dark,No,0.610758848,2.977119231,3.965627666,0.045312921,0.705918016,0.922390813,14.06666667,34.23333333,0.708764665
28,Dark,No,0.626264457,2.987871042,4.263628138,-0.024404244,0.942717271,2.236008048,20.13333333,41.86666667,0.675268817
29,Dark,No,0.625791079,1.677191107,3.126039131,0.01464711,0.998521005,2.842389846,39.83333333,66.66666667,0.625978091
30,Dark,No,0.642193242,3.027775577,4.654974056,0.062754566,0.820045093,1.476002507,20.2,40.73333333,0.668490153
31,Dark,No,0.612199157,2.859195516,3.945046229,-0.020933117,0.971648547,3.154778425,27.56666667,24.3,0.468508997
32,Dark,No,0.629917572,2.903964212,4.54179822,0.004403923,0.838120987,1.749941771,28.36666667,20.53333333,0.419904567
33,Dark,No,0.647300278,2.839141393,4.392208318,-0.024061713,0.88887211,2.292712251,24.2,44.96666667,0.650120482
34,Dark,No,0.640194624,4.096393773,4.787072083,-0.124238826,0.999212683,2.25998904,13,19.1,0.595015576
35,Dark,No,0.624476695,3.220908939,4.800725124,-0.044778411,0.782416799,1.582046409,22.36666667,25.76666667,0.53531856
36,Dark,No,0.662460007,3.391512205,4.187592752,0.027487177,0.730362936,1.063298861,22.13333333,17.23333333,0.437764606
37,Dark,Yes,0.658023467,3.128411907,4.750732022,0.200877318,0.852318962,2.121893249,22.06666667,30.66666667,0.581542351
38,Dark,Yes,0.689379398,3.758654194,4.381691931,0.244308762,0.880628681,1.939785379,15.73333333,43.93333333,0.736312849
39,Dark,Yes,0.676109013,2.884269818,4.578717614,0.359822151,0.852871984,2.244199601,22.9,51.4,0.69179004
40,Dark,Yes,0.676343628,2.735723882,4.143555961,0.372581299,0.807455937,2.161727191,36.7,35.43333333,0.491219963
41,Dark,Yes,0.649704276,3.489475277,4.810946953,0.19749084,0.881245272,1.742131246,25.8,23.23333333,0.473827328
42,Dark,Yes,0.61836712,4.243140437,4.432282302,0.235815175,0.821686107,1.826279845,11.36666667,11.5,0.502915452
43,Dark,Yes,0.641977992,3.585690921,4.4081398,0.242893282,0.923445855,2.504211269,14.76666667,40.43333333,0.732487923
44,Dark,Yes,0.659182285,2.907523968,4.306744678,0.344464648,0.337634208,0.350459142,14.36666667,47.1,0.76626898
45,Dark,Yes,0.616796336,2.980480996,4.799364419,0.087274152,0.855684494,2.208460049,19.43333333,28.2,0.592022393
46,Dark,Yes,0.648290154,3.763426732,4.590708971,0.276104024,0.874110262,1.947170245,13.66666667,16.83333333,0.551912568
47,Dark,Yes,0.654970392,3.388928039,4.39678963,0.219539847,0.828447874,1.491411478,22.66666667,21.93333333,0.491778774